epg@query	前天中央一套的节目单	b-datetime_date i-datetime_date b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o
train@query	明天南京到徐州的火车	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	草莓芒果西米露。	b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname i-dishname o
cookbook@query	坐宫保鸡丁需要哪些材料？	o b-dishname i-dishname i-dishname i-dishname o o o o o o o
tvchannel@play	高清央视综艺	b-resolution i-resolution b-name i-name i-name i-name
website@open	我要上网打开百度	o o o o o o b-name i-name
match@query	中超赛事预告，从在哪里看呢？	b-category i-category o o b-type i-type o o o o o o o o
music@play	我想听情花开这首歌	o o o b-song i-song i-song o o o
video@query	福尔摩斯探案集	b-name i-name i-name i-name i-name i-name i-name
music@play	来一首剑侠情缘	o o o b-song i-song i-song i-song
stock@query	查寻科大讯飞的股	o o b-name i-name i-name i-name o o
flight@query	晋江到武汉的航班	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
epg@query	看当前直播的比赛	o o o o o o b-category i-category
cookbook@query	可乐鸡翅怎么做呀晚点告诉我。	b-dishname i-dishname i-dishname i-dishname o o o o o o o o o o
news@play	我想听听钓鱼岛的新闻。	o o o o b-keyword i-keyword i-keyword o o o o
stock@query	搜索中国移动股票	o o b-name i-name i-name i-name o o
train@query	洛阳至西安的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
train@query	潜山到福州的火车	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
cookbook@query	怎么炒番茄炒？	o o b-dishname i-dishname i-dishname o o
epg@query	湖南卫视明天播什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o o
cinemas@query	查询众乐电影院最热门的电影	o o b-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o
video@query	查找90年代好评的武侠电影	o o b-decade i-decade i-decade i-decade b-payment i-payment o b-tag i-tag b-category i-category
cookbook@query	酸菜鱼的做法，妈。	b-dishname i-dishname i-dishname o o o o o o
poetry@query	天王盖地虎的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
bus@query	从台州到金华的汽车。	o b-src i-src o b-dest i-dest o o o o
riddle@query	讲个猜谜语的。	o o o b-category i-category o o
tvchannel@play	体育赛事直播	b-name i-name i-name i-name o o
app@launch	打开极品飞车	o o b-name i-name i-name i-name
epg@query	湖北卫视今天下午六点以后开始播男生女生向前冲	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date b-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time o o o b-name i-name i-name i-name i-name i-name i-name
bus@query	上海到合肥可以到哪坐车	b-src i-src o b-dest i-dest o o o o o o
app@launch	音乐播放器	b-name i-name i-name i-name i-name
cookbook@query	肉沫茄子，怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o o
music@play	来首只爱你一个。	o o b-song i-song i-song i-song i-song o
tvchannel@play	找深圳卫视	o b-name i-name i-name i-name
epg@query	中央四频道火箭兜风	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-name i-name i-name i-name
health@query	梅毒怎么治疗？	b-keyword i-keyword o o o o o
train@query	南京到厦门的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
stock@query	中海油服股票	b-name i-name i-name i-name o o
cookbook@query	海星的做法。	b-ingredient i-ingredient o o o o
epg@query	现在电视台在放什么节目	b-datetime_time i-datetime_time o o o o o o o b-category i-category
poetry@query	说一句，白居易的诗。	o o o o b-author i-author i-author o o o
stock@query	搜索蒙牛的股市行情	o o b-name i-name o o o o o
website@open	打开科大讯飞网站	o o b-name i-name i-name i-name o o
flight@query	明天温州到上海的航班。	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
novel@query	给我讲一个长篇小说。	o o o o o o o o o o
cookbook@query	水饺的做法。	b-dishname i-dishname o o o o
map@position	帮我查一下我所在的位置	o o o o o o o o o o o
stock@query	永辉超市股份的价格	b-name i-name i-name i-name o o o o o
cookbook@query	北京烤鸭做法。	b-dishname i-dishname i-dishname i-dishname o o o
poetry@query	学而不厌，下一句是什么？	b-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
tvchannel@play	调到新疆综艺	o o b-name i-name i-name i-name
map@position	昆山大润发在哪里	b-location_area i-location_area b-location_poi i-location_poi i-location_poi o o o
message@send	发短信呢	o o o o
video@query	搜索逃学威龙第二部	o o b-name i-name i-name i-name b-season i-season i-season
cookbook@query	五梆瓜鸡蛋汤怎么做？	o o o b-dishname i-dishname i-dishname o o o o
flight@query	八月十九号到成都的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
map@route	怎么去泉城广场	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
cookbook@query	怎么做卤猪脚	o o o b-dishname i-dishname i-dishname
stock@query	我想了解地产板块股票现在怎么样	o o o o b-name i-name i-name i-name o o o o o o o
cookbook@query	打豆浆剩下的豆渣怎样做，好吃？	o o o o o o b-ingredient i-ingredient o o o o o o o
stock@query	中信证券股票	b-name i-name i-name i-name o o
translation@translation	中国共产主义的英文怎么说	b-content i-content i-content i-content i-content i-content o b-target i-target o o o
cinemas@query	查找卢米埃银泰电影院有播放什么好看的电影吗	o o b-theatre i-theatre i-theatre i-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o o o o o o
lottery@number_query	搜索15选5的号码信息	o o b-name i-name i-name i-name o o o o o
video@query	最新有什么热门电影	b-timedescr i-timedescr o o o b-popularity i-popularity b-category i-category
cookbook@query	辣酸菜鱼怎么做了。	b-dishname i-dishname i-dishname b-ingredient o o o o o
telephone@dial	打电话给李新颖	o o o o b-name i-name i-name
website@open	幻剑书盟	b-name i-name i-name i-name
map@route	去红心中路怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
map@route	春熙路怎么走	b-endloc_poi i-endloc_poi i-endloc_poi o o o
novel@query	我要看游戏异界小说	o o o b-category i-category i-category i-category o o
epg@query	哪个频道演爸爸去哪儿	o o o o o b-name i-name i-name i-name i-name
epg@query	北京体育频道明天的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o
cookbook@query	腊鱼。	b-dishname i-dishname o
translation@translation	茶用英语怎么说呀	b-content o b-target i-target o o o o
cookbook@query	你酸辣土豆丝怎么做？	o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
telephone@dial	打电话给三路店	o o o o b-name i-name i-name
tvchannel@play	卡酷少儿频道	b-name i-name i-name i-name i-name i-name
video@query	福尔摩斯	b-name i-name i-name i-name
email@forward	帮我转发邮件	o o o o o o
stock@riserate_query	宏达高科的股票跌了没有	b-name i-name i-name i-name o o o o o o o
map@route	去金湖县城	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
cookbook@query	猪肚鸡怎么做啊？	b-dishname i-dishname i-dishname o o o o o
poetry@query	毛泽东的诗哦。	b-author i-author i-author o o o o
lottery@number_query	看看大乐透的得奖号码	o o b-name i-name i-name o o o o o
map@route	从这里去瑞金路怎么走	o o o o b-endloc_poi i-endloc_poi i-endloc_poi o o o
health@query	甲亢怎么治疗？	b-keyword i-keyword o o o o o
news@play	我要听新闻，给我数。	o o o o o o o o o o
stock@query	通宝能源股票	b-name i-name i-name i-name o o
video@query	中国新声代	b-name i-name i-name i-name i-name
poetry@query	搜索古诗绝句。	o o o o b-name i-name o
bus@query	上海回合肥怎么坐汽车	b-src i-src o b-dest i-dest o o o o o
poetry@default	呵呵，背首诗来听。	o o o o o o o o o
lottery@number_query	搜索25选5的获奖号码	o o b-name i-name i-name i-name o o o o o
novel@query	都市言情小说何以笙箫默	b-category i-category i-category i-category o o b-name i-name i-name i-name i-name
bus@query	怎么坐车去广州？	o o o o o b-dest i-dest o
lottery@number_query	查七乐彩开奖结果	o b-name i-name i-name o o o o
telephone@dial	打电话给郑艺红	o o o o b-name i-name i-name
map@route	带我去丹阳市眼镜市场	o o o b-endloc_area i-endloc_area o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
poetry@default	读句诗来听听。	o o o o o o o
message@send	发短信给张全三移动的号码我今天请他吃法	o o o o b-name i-name i-name b-teleoperator i-teleoperator o o o b-content i-content i-content i-content i-content i-content i-content
tvchannel@play	高清中央8	b-resolution i-resolution b-name i-name i-name
video@query	开心大冒险	b-name i-name i-name i-name i-name
poetry@query	背唐诗李白侠客行	o b-dynasty o b-author i-author b-name i-name i-name
train@query	查一下上海到苏州的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cinemas@query	艺轩电影院最近上映的电影有哪些	b-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o o o o o
website@open	新浪汽车	b-name i-name i-name i-name
video@query	看看郑晓龙导演的甄嬛传	o o b-artist i-artist i-artist b-artistrole i-artistrole o b-name i-name i-name
epg@query	中央电视台少儿频道大耳朵图图	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-name i-name i-name i-name i-name
translation@translation	翻译我是一只狗	o o b-content i-content i-content i-content i-content
website@open	打开我的网易	o o o o b-name i-name
cookbook@query	做黄焖小土豆怎么做啊？	o o b-dishname i-dishname i-dishname i-dishname o o o o o
cookbook@query	腰花可以怎么做？	b-ingredient i-ingredient o o o o o o
lottery@number_query	我要查彩票的开奖信息。	o o o o o o o o o o o
match@query	昨天恒大比赛结果是什么？	b-datetime_date i-datetime_date b-name i-name o o b-type i-type o o o o
health@query	手癣怎么治疗？	b-keyword i-keyword o o o o o
poetry@query	江涵秋影雁初飞的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
video@query	中国霸王花	b-name i-name i-name i-name i-name
health@query	甲型肝炎。	b-keyword i-keyword i-keyword i-keyword o
message@send	给杨凯发短信	o b-name i-name o o o
health@query	黄疸	b-keyword i-keyword
email@create	我要写一条邮件	o o o o o o o
cookbook@query	红烧牛肉面我想来一碗。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o o
novel@query	你再给我推荐几本书	o o o o o o o o o
app@launch	打开相机我想你	o o b-name i-name o o o
poetry@query	请背诵静夜思。	o o o b-name i-name i-name o
poetry@query	古诗长恨歌。	o o b-name i-name i-name o
cookbook@query	菠萝咕老肉的做法	b-dishname i-dishname i-dishname i-dishname i-dishname o o o
match@query	篮球赛事预告。	b-category i-category o o b-type i-type o
health@query	过敏性鼻炎怎么治疗	b-keyword i-keyword i-keyword i-keyword i-keyword o o o o
match@query	2013年中国男足，主要赛程。	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-category i-category i-category i-category o o o o o o
health@query	肾炎需要注意什么？	b-keyword i-keyword o o o o o o o
weather@query	现在温度几度	o o o o o o
train@query	宿州到北京的火车有哪些	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o
website@open	四川新闻网	b-name i-name i-name i-name i-name
music@play	我要听劝化这首歌	o o o b-song i-song o o o
website@open	打开江苏移动网上营业厅网页	o o b-name i-name i-name i-name i-name o o o o o o
cinemas@query	最近的新电影有哪些？	o o o o o o o o o o
bus@query	无锡到阜阳怎么坐汽车？	b-src i-src o b-dest i-dest o o o o o o
video@query	电视剧火凤凰	b-category i-category i-category b-name i-name i-name
health@query	暴发性紫癜	b-keyword i-keyword i-keyword i-keyword i-keyword
cookbook@query	脆瓜。	b-dishname i-dishname o
poetry@query	给我念首春晓。	o o o o b-name i-name o
flight@query	南京到成都的机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
email@forward	我想要转发这条邮件	o o o o o o o o o
map@route	杭州到上海	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
translation@translation	我不在家英语怎么说	b-content i-content i-content i-content b-target i-target o o o
website@open	把淘宝网打开	o b-name i-name i-name o o
music@play	she的歌	b-artist i-artist i-artist o o
tvchannel@play	先锋乒羽	b-name i-name i-name i-name
video@query	张绍刚的综艺节目	b-artist i-artist i-artist o b-tag i-tag b-category i-category
cookbook@query	西红柿炒蛋怎么煮？	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
music@play	播放上海滩。	o o b-song i-song i-song o
train@query	查寻上海到北京的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
tvchannel@play	找河南卫视	o b-name i-name i-name i-name
news@play	姨，最近有什么新闻。	o o b-datetime_date i-datetime_date o o o o o o
riddle@query	打一个谜语男人的腿残。	o o o b-category i-category o o o o o o
website@open	摩尔勇士	b-name i-name i-name i-name
cookbook@query	糖醋藕怎么做？	b-dishname i-dishname i-dishname o o o o
translation@translation	腿英文怎么说	b-content b-target i-target o o o
cookbook@query	新奥尔良烤翅的做法	b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname o o o
match@query	播放，青岛中能的赛程。	o o o b-name i-name i-name i-name o o o o
cookbook@query	鸡蛋的做法	b-ingredient i-ingredient o o o
music@play	来首快乐崇拜	o o b-song i-song i-song i-song
poetry@query	搜搜一首毛泽东的诗。	o o o o b-author i-author i-author o o o
epg@query	世界军事中央台世界军事	b-name i-name i-name i-name b-tvchannel i-tvchannel i-tvchannel o o o o
flight@query	从威海到苏州的飞机	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
translation@translation	我正在睡觉用英语怎么说	b-content i-content i-content i-content i-content o b-target i-target o o o
cookbook@query	我说铁锅炖羊肉怎么做？	o o b-utensil i-utensil b-dishname i-dishname i-dishname o o o o
cookbook@query	怎么弄红烧肉哦？	o o o b-dishname i-dishname i-dishname o o
map@position	华晶小学在哪里	b-location_poi i-location_poi i-location_poi i-location_poi o o o
riddle@query	讲个谜语猜一下。	o o b-category i-category o o o o
translation@translation	你曾爱过我吗用英语怎么说	b-content i-content i-content i-content i-content i-content o b-target i-target o o o
radio@launch	98.4香港电台第四台	b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name
telephone@query	潘靖的电话是多少	b-name i-name o o o o o o
news@play	今天杭州有什么新闻	b-datetime_date i-datetime_date b-location_city i-location_city o o o o o
video@query	小c帮我搜一下断剑视频	o o o o o o o b-name i-name o o
lottery@number_query	帮我查一下今天开奖的15选5	o o o o o b-datetime_date i-datetime_date o o o b-name i-name i-name i-name
poetry@query	抽刀断水水更流的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
video@query	找一下詹姆斯卡梅隆拍的电影	o o o b-artist i-artist i-artist i-artist i-artist i-artist o o b-category i-category
video@query	有没有张艺谋导演的热门电影	o o o b-artist i-artist i-artist b-artistrole i-artistrole o b-popularity i-popularity b-category i-category
cinemas@query	电影钢铁侠并论。	o o b-film i-film i-film o o o
news@play	告诉我今天的新闻内容	o o o b-datetime_date i-datetime_date o o o o o
email@launch	替我打开新邮件	o o o o o o o
news@play	后天新闻	b-datetime_date i-datetime_date o o
epg@query	熊出没是几点开始播放。	b-name i-name i-name o o o o o o o o
poetry@query	背将进酒。	o b-name i-name i-name o
cookbook@query	故宫鱼怎么做？	b-ingredient i-ingredient i-ingredient o o o o
bus@query	济宁到潍坊的，车。	b-src i-src o b-dest i-dest o o o o
email@create	给我写一封邮件	o o o o o o o
translation@translation	晚安的英语	b-content i-content o b-target i-target
music@play	我要听稻香	o o o b-song i-song
tvchannel@play	江苏党校二套	b-name i-name i-name i-name i-name i-name
map@route	去肇庆市怎么坐车？	o b-endloc_city i-endloc_city o o o o o o
music@play	我想听首歌	o o o o o
poetry@query	朗读一首李白的诗呗！	o o o o b-author i-author o o o o
cookbook@query	酒鬼花生怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
contacts@query	查找张伟军	o o b-name i-name i-name
translation@translation	点击说话的英语怎么写	b-content i-content i-content i-content o b-target i-target o o o
translation@translation	你去哪用英文怎么说	b-content i-content i-content o b-target i-target o o o
epg@query	少儿节目中央少儿节目	b-category i-category o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel
flight@query	济南到汉中的飞机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
telephone@dial	打电话给张帕楼	o o o o b-name i-name i-name
train@query	后天去南京的火车	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
video@query	情景剧电视剧	b-tag i-tag o b-category i-category i-category
poetry@query	来首纳兰性德的词。	o o b-author i-author i-author i-author o o o
cookbook@query	就拉下的饺子怎么做？	o o o o b-dishname i-dishname o o o o
train@query	查询柳州到昆明的列车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
train@query	后天上海到烟台的火车	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
map@route	上海到北京怎么走	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	蒽蒽江苏卫视有什么好节目吗？	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o o o
train@query	明天去蚌埠的车票	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
train@query	查一下从杭州到上海高铁时刻表	o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city b-category i-category o o o
news@play	关注一下今天的欧洲杯新闻	o o o o b-datetime_date i-datetime_date o b-keyword i-keyword i-keyword o o
riddle@query	讲个谜语吧，辣。	o o b-category i-category o o o o
website@open	打开百度啊	o o b-name i-name o
news@play	美国最近有什么新闻	b-location_country i-location_country b-datetime_date i-datetime_date o o o o o
translation@translation	早上好英语怎么讲	b-content i-content i-content b-target i-target o o o
flight@query	杭州到郑州飞机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	我要看功夫熊猫帮我播放出来	o o o b-name i-name i-name i-name o o o o o o
music@play	我要听情动这首歌。	o o o b-song i-song o o o o
tvchannel@play	高清北京文艺台	b-resolution i-resolution b-name i-name i-name i-name i-name
tvchannel@play	中央十一台	b-name i-name i-name i-name i-name
news@play	请给我讲一下今天的新闻吧！	o o o o o o b-datetime_date i-datetime_date o o o o o
health@query	脑瘫	b-keyword i-keyword
train@query	查询临沂到济南的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
message@send	呃发信息给周玉豪	o o o o o b-name i-name i-name
video@query	铁甲威虫	b-name i-name i-name i-name
map@route	宁乡到长沙怎么走	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
cookbook@query	白萝卜汤怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
health@query	给我查一下，乳腺增生怎么治疗？	o o o o o o b-keyword i-keyword i-keyword i-keyword o o o o o
video@query	看毛泽东在武汉的故事	o b-name i-name i-name i-name i-name i-name i-name i-name i-name
video@query	最美的时光	b-name i-name i-name i-name i-name
news@play	帮我搜索一下今天的新闻	o o o o o o b-datetime_date i-datetime_date o o o
news@play	看看有什么好新闻	o o o o o o o o
